[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [38, -31, -51, 10, 124, 12, 114, 90, -8, 72, 41, -77, -43, -112, -12, -128]
[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [107, 38, -125, -109, -34, 46, 110, 69, 50, -10, -125, 116, 2, 86, 67, 110]
[2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [31, 78, 5, 104, 57, 124, -48, -70, -125, -91, -119, -19, 55, -35, -87, 120]
[3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [-54, -101, 111, 78, 4, 4, -12, -70, -79, 39, 14, 1, -35, -53, -29, 58]
[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [87, 35, -32, 25, -11, -38, -107, 65, 64, 44, 24, -18, -108, -6, 34, 44]
[5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [83, 25, 0, -65, 60, -36, -43, 40, -2, 105, 99, 126, -52, 18, 117, -126]
[6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [-53, 117, -104, 99, -6, -108, -7, 23, 83, 8, -24, -58, -10, -21, 108, -32]
[7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [99, 15, 45, 95, -121, 21, 127, -76, 119, -101, 85, 28, -56, 61, 94, -12]
[8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [13, -62, -95, 50, -13, -110, -32, -21, 46, -1, -7, -8, 81, -81, -28, -85]
[9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [-70, 19, 53, -61, -44, -62, -71, 1, 48, -6, 66, 30, 45, -102, -56, 78]
[10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] >>>>> [-24, -128, 10, 13, 36, -114, -10, 124, 67, -88, -96, 125, 81, 108, 34, 99]
